rank,search_mode,x,y,z,p_abs,local_p_ratio,local_p_ref,local_p_sample_count,U,grad_norm,well_depth,lambda_min_conf
70,full_grid,-0.039108911,0.000000000,0.042563861,2.645623172e+03,8.776267283e-02,3.014519825e+04,5616,-2.055110694e-06,2.281122606e-04,1.367549215e-08,3.441932012e-02
71,full_grid,0.000000000,-0.039108911,0.042563861,2.645623172e+03,8.776267283e-02,3.014519825e+04,5616,-2.055110694e-06,2.281122606e-04,1.367549215e-08,3.441932012e-02
72,full_grid,0.000000000,0.039108911,0.042563861,2.645623172e+03,8.776267283e-02,3.014519825e+04,5616,-2.055110694e-06,2.281122606e-04,1.367549215e-08,3.441932012e-02
73,full_grid,0.039108911,0.000000000,0.042563861,2.645623172e+03,8.776267283e-02,3.014519825e+04,5616,-2.055110694e-06,2.281122606e-04,1.367549215e-08,3.441932012e-02
74,full_grid,0.000000000,0.000000000,0.037891584,6.395255839e+03,8.843929422e-02,7.231237987e+04,6353,-1.463612177e-05,1.712908827e-03,6.387030535e-07,1.303081861e+00
75,full_grid,0.000000000,0.000000000,0.028547030,5.889584406e+03,9.768921342e-02,6.028899404e+04,6353,-9.361335401e-06,9.420185025e-05,3.768095573e-07,7.687668587e-01
76,full_grid,-0.019801980,0.019801980,0.042563861,2.026387930e+02,9.778315862e-02,2.072328158e+03,5616,-1.161938830e-08,1.483538607e-06,6.673157957e-10,1.014369731e-03
77,full_grid,0.019801980,-0.019801980,0.042563861,2.026387930e+02,9.778315862e-02,2.072328158e+03,5616,-1.161938830e-08,1.483538607e-06,6.673157957e-10,1.014369731e-03
78,full_grid,-0.019801980,-0.019801980,0.042563861,2.026387930e+02,9.778315862e-02,2.072328158e+03,5616,-1.161938830e-08,1.483538607e-06,6.673157957e-10,1.014369731e-03
79,full_grid,0.019801980,0.019801980,0.042563861,2.026387930e+02,9.778315862e-02,2.072328158e+03,5616,-1.161938830e-08,1.483538607e-06,6.673157957e-10,1.014369731e-03
80,full_grid,0.000000000,0.000000000,0.033219307,6.989971912e+03,1.037716661e-01,6.735915662e+04,6353,-1.247630332e-05,7.690096124e-04,5.359350653e-07,1.093414720e+00
81,full_grid,-0.012376238,0.000000000,0.037466832,1.873542820e+03,1.135959706e-01,1.649303941e+04,6353,-7.244534454e-07,8.030963321e-05,2.735126190e-08,5.580204453e-02
82,full_grid,0.000000000,-0.012376238,0.037466832,1.873542820e+03,1.135959706e-01,1.649303941e+04,6353,-7.244534454e-07,8.030963321e-05,2.735126190e-08,5.580204453e-02
