index_z,x,y,z,p_abs,U,grad_norm,lambda_min_conf,potential_minimum_1d
163,0.000000000,0.000000000,0.036617327,5.948297656e+04,1.476677464e-06,1.670877076e-02,-5.491411857e+00,False
164,0.000000000,0.000000000,0.036829703,5.216139333e+04,-2.198867268e-06,1.722494966e-02,3.433434240e-01,False
165,0.000000000,0.000000000,0.037042079,4.378446843e+04,-5.839662538e-06,1.636515348e-02,6.720219243e-01,False
166,0.000000000,0.000000000,0.037254455,3.453235596e+04,-9.150006714e-06,1.416828360e-02,9.509203702e-01,False
167,0.000000000,0.000000000,0.037466832,2.465069140e+04,-1.185767607e-05,1.080710538e-02,1.157729656e+00,False
168,0.000000000,0.000000000,0.037679208,1.456329759e+04,-1.374035147e-05,6.541329039e-03,1.281145406e+00,False
169,0.000000000,0.000000000,0.037891584,6.395255839e+03,-1.463612177e-05,1.712908827e-03,1.303081861e+00,True
170,0.000000000,0.000000000,0.038103960,1.054008311e+04,-1.446791374e-05,3.311046926e-03,1.233683971e+00,False
171,0.000000000,0.000000000,0.038316337,2.050951087e+04,-1.322974639e-05,8.125322645e-03,1.059623716e+00,False
172,0.000000000,0.000000000,0.038528713,3.078620480e+04,-1.101666283e-05,1.230779474e-02,7.980531585e-01,False
173,0.000000000,0.000000000,0.038741089,4.066066394e+04,-8.001980112e-06,1.553958346e-02,4.783503895e-01,False
174,0.000000000,0.000000000,0.038953465,4.982928715e+04,-4.416186292e-06,1.754221667e-02,1.142919843e-01,False
175,0.000000000,0.000000000,0.039165842,5.806778783e+04,-5.508801620e-07,1.811867071e-02,-6.664150027e-01,False
176,0.000000000,0.000000000,0.039378218,6.519472881e+04,3.279763939e-06,1.725915524e-02,-7.281609159e+00,False
177,0.000000000,0.000000000,0.039590594,7.105940091e+04,6.779988749e-06,1.502578919e-02,-1.349173536e+01,False
178,0.000000000,0.000000000,0.039802970,7.552356506e+04,9.662005090e-06,1.152850725e-02,-1.874634987e+01,False
179,0.000000000,0.000000000,0.040015347,7.848750078e+04,1.167675074e-05,7.063230683e-03,-2.240908816e+01,False
180,0.000000000,0.000000000,0.040227723,7.989357758e+04,1.266212981e-05,2.010191591e-03,-2.426825679e+01,False
181,0.000000000,0.000000000,0.040440099,7.970153056e+04,1.253058460e-05,3.244771456e-03,-2.422260019e+01,False
182,0.000000000,0.000000000,0.040652475,7.791020110e+04,1.128390510e-05,8.278417796e-03,-2.222087578e+01,False
183,0.000000000,0.000000000,0.040864851,7.454930566e+04,9.014306145e-06,1.268314345e-02,-1.841032163e+01,False
184,0.000000000,0.000000000,0.041077228,6.968240389e+04,5.896708526e-06,1.609824748e-02,-1.305201756e+01,False
185,0.000000000,0.000000000,0.041289604,6.340081974e+04,2.176535681e-06,1.822702021e-02,-6.598668421e+00,False
186,0.000000000,0.000000000,0.041501980,5.583062758e+04,-1.845263425e-06,1.890104823e-02,1.826743575e-01,False
187,0.000000000,0.000000000,0.041714356,4.712500101e+04,-5.851731338e-06,1.806761437e-02,5.513716348e-01,False
188,0.000000000,0.000000000,0.041926733,3.745478469e+04,-9.519527349e-06,1.575796069e-02,8.902902438e-01,False
189,0.000000000,0.000000000,0.042139109,2.702595672e+04,-1.254496414e-05,1.216594474e-02,1.154223384e+00,False
190,0.000000000,0.000000000,0.042351485,1.607631768e+04,-1.468704249e-05,7.587461169e-03,1.324912608e+00,False
191,0.000000000,0.000000000,0.042563861,5.109518021e+03,-1.576775706e-05,2.372045022e-03,1.402228518e+00,True
192,0.000000000,0.000000000,0.042776238,7.307603841e+03,-1.569457449e-05,3.050016200e-03,1.374472874e+00,False
193,0.000000000,0.000000000,0.042988614,1.842037022e+04,-1.447225513e-05,8.242360303e-03,1.242418210e+00,False
194,0.000000000,0.000000000,0.043200990,2.935915486e+04,-1.219361154e-05,1.278465138e-02,1.009588939e+00,False
195,0.000000000,0.000000000,0.043413366,3.975171460e+04,-9.041942808e-06,1.629966230e-02,7.088394181e-01,False
196,0.000000000,0.000000000,0.043625743,4.936733921e+04,-5.270289639e-06,1.851018986e-02,3.548781259e-01,False
197,0.000000000,0.000000000,0.043838119,5.800286064e+04,-1.179693849e-06,1.923947596e-02,-2.448952291e-01,False
198,0.000000000,0.000000000,0.044050495,6.547996699e+04,2.901725399e-06,1.840617000e-02,-7.440232672e+00,False
199,0.000000000,0.000000000,0.044262871,7.164161886e+04,6.638372418e-06,1.607921872e-02,-1.397674676e+01,False
200,0.000000000,0.000000000,0.044475248,7.636743486e+04,9.731413351e-06,1.246951222e-02,-2.068106615e+01,False
201,0.000000000,0.000000000,0.044687624,7.955740309e+04,1.193482860e-05,7.294884682e-03,-1.943437370e+01,False
202,0.000000000,0.000000000,0.044900000,8.114100212e+04,1.282993368e-05,4.214713886e-03,-1.450336832e+01,False
