index_z,x,y,z,p_abs,U,grad_norm,lambda_min_conf,potential_minimum_1d
155,0.000000000,0.000000000,0.034918317,6.830084379e+04,6.605375003e-06,1.282868953e-02,-1.236515278e+01,False
156,0.000000000,0.000000000,0.035130693,7.229516564e+04,9.046760918e-06,9.667372626e-03,-1.683682593e+01,False
157,0.000000000,0.000000000,0.035343069,7.488645155e+04,1.071161545e-05,5.677206045e-03,-2.002357324e+01,False
158,0.000000000,0.000000000,0.035555446,7.601569421e+04,1.145816824e-05,1.162310327e-03,-2.167536971e+01,False
159,0.000000000,0.000000000,0.035767822,7.563681602e+04,1.120530964e-05,3.529460890e-03,-2.159925004e+01,False
160,0.000000000,0.000000000,0.035980198,7.375168358e+04,9.959020989e-06,8.012024589e-03,-1.974189107e+01,False
161,0.000000000,0.000000000,0.036192574,7.038669765e+04,7.802182367e-06,1.191487799e-02,-1.619835434e+01,False
162,0.000000000,0.000000000,0.036404950,6.559713986e+04,4.898147072e-06,1.489231569e-02,-1.128591536e+01,False
163,0.000000000,0.000000000,0.036617327,5.948274111e+04,1.476634416e-06,1.670859847e-02,-5.491322306e+00,False
164,0.000000000,0.000000000,0.036829703,5.216120571e+04,-2.198871487e-06,1.722476843e-02,3.433677800e-01,False
165,0.000000000,0.000000000,0.037042079,4.378434810e+04,-5.839628611e-06,1.636498239e-02,6.720463133e-01,False
166,0.000000000,0.000000000,0.037254455,3.453232927e+04,-9.149938267e-06,1.416813170e-02,9.509426950e-01,False
167,0.000000000,0.000000000,0.037466832,2.465081269e+04,-1.185757762e-05,1.080698531e-02,1.157748215e+00,False
168,0.000000000,0.000000000,0.037679208,1.456372284e+04,-1.374023203e-05,6.541251920e-03,1.281151804e+00,False
169,0.000000000,0.000000000,0.037891584,6.396586860e+03,-1.463599057e-05,1.712883215e-03,1.303075068e+00,True
170,0.000000000,0.000000000,0.038103960,1.054101985e+04,-1.446778341e-05,3.311026909e-03,1.233673132e+00,False
171,0.000000000,0.000000000,0.038316337,2.051001544e+04,-1.322962369e-05,8.125274428e-03,1.059604194e+00,False
172,0.000000000,0.000000000,0.038528713,3.078652926e+04,-1.101655299e-05,1.230772296e-02,7.980219941e-01,False
173,0.000000000,0.000000000,0.038741089,4.066088563e+04,-8.001887900e-06,1.553949483e-02,4.783099380e-01,False
174,0.000000000,0.000000000,0.038953465,4.982943795e+04,-4.416114092e-06,1.754211103e-02,1.142447902e-01,False
175,0.000000000,0.000000000,0.039165842,5.806788727e+04,-5.508328178e-07,1.811856234e-02,-6.663719548e-01,False
176,0.000000000,0.000000000,0.039378218,6.519479271e+04,3.279790108e-06,1.725906790e-02,-7.281510326e+00,False
