rank,coarse_x,coarse_y,coarse_z,coarse_p_abs,coarse_local_p_ratio,coarse_U,coarse_grad_norm,coarse_well_depth,coarse_lambda_min_conf,refined_x,refined_y,refined_z,refined_distance_from_coarse,refined_p_abs,refined_box_p_ratio,refined_box_p_ref,refined_box_p_sample_count,refined_U,refined_grad_norm,refined_grad_ratio_to_coarse,refined_box_well_depth,refined_lambda_min_conf,refined_local_minimum_26,refined_hessian_positive,refined_minimum_on_edge,newton_dx,newton_dy,newton_dz,newton_offset_norm,newton_x,newton_y,newton_z,newton_in_refine_box,refine_validation_pass,refine_validation_reason,local_refine_radius,local_refine_grid_size,local_refine_dx,local_refine_dy,local_refine_dz
21,-1.237623762e-02,0.000000000e+00,3.746683168e-02,1.873542820e+03,1.135959706e-01,-7.244534454e-07,8.030963321e-05,2.735126190e-08,5.580204453e-02,-1.222617512e-02,1.929375000e-04,3.733820668e-02,2.762028665e-04,1.547329985e+03,1.342189368e-01,1.152840293e+04,1030301,-7.430950466e-07,2.246715613e-04,2.797566771e+00,4.280670873e-09,2.063559808e+01,True,True,False,-8.285319549e-07,1.495104145e-06,1.016500803e-05,1.030772476e-05,-1.222700366e-02,1.944326041e-04,3.734837169e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
22,0.000000000e+00,1.237623762e-02,4.235148515e-02,1.110928493e+03,6.627810635e-02,-7.303860105e-07,1.082323618e-04,2.696603207e-08,5.501609863e-02,0.000000000e+00,1.250486262e-02,4.243723515e-02,1.545880109e-04,4.614632467e+02,4.202098864e-02,1.098173226e+04,1030301,-7.536488880e-07,1.819818040e-04,1.681399176e+00,4.216539728e-09,2.662325914e+01,True,True,False,-9.241486977e-19,-1.019266538e-06,-5.507885729e-06,5.601402456e-06,-9.241486977e-19,1.250384336e-02,4.243172726e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
23,1.237623762e-02,0.000000000e+00,4.235148515e-02,1.110928493e+03,6.627810635e-02,-7.303860105e-07,1.082323618e-04,2.696603207e-08,5.501609863e-02,1.250486262e-02,0.000000000e+00,4.243723515e-02,1.545880109e-04,4.614632467e+02,4.202098864e-02,1.098173226e+04,1030301,-7.536488880e-07,1.819818040e-04,1.681399176e+00,4.216539728e-09,2.662325914e+01,True,True,False,-1.019266538e-06,1.995552721e-18,-5.507885729e-06,5.601402456e-06,1.250384336e-02,1.995552721e-18,4.243172726e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
24,-1.237623762e-02,0.000000000e+00,4.235148515e-02,1.110928493e+03,6.627810635e-02,-7.303860105e-07,1.082323618e-04,2.696603207e-08,5.501609863e-02,-1.250486262e-02,0.000000000e+00,4.243723515e-02,1.545880109e-04,4.614632467e+02,4.202098864e-02,1.098173226e+04,1030301,-7.536488880e-07,1.819818040e-04,1.681399176e+00,4.216539727e-09,2.662325914e+01,True,True,False,1.019266537e-06,5.773947491e-20,-5.507885729e-06,5.601402456e-06,-1.250384336e-02,5.773947491e-20,4.243172726e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
25,0.000000000e+00,-1.237623762e-02,4.235148515e-02,1.110928493e+03,6.627810635e-02,-7.303860105e-07,1.082323618e-04,2.696603207e-08,5.501609863e-02,0.000000000e+00,-1.250486262e-02,4.243723515e-02,1.545880109e-04,4.614632467e+02,4.202098864e-02,1.098173226e+04,1030301,-7.536488880e-07,1.819818040e-04,1.681399176e+00,4.216539727e-09,2.662325914e+01,True,True,False,1.466335937e-17,1.019266537e-06,-5.507885729e-06,5.601402456e-06,1.466335937e-17,-1.250384336e-02,4.243172726e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
26,-1.683168317e-02,-1.287128713e-02,4.336138614e-03,4.071263133e+03,1.583792783e-01,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01,-1.696030817e-02,-1.265691213e-02,4.271826114e-03,2.581416838e-04,2.451763022e+03,1.684343221e-01,1.455619609e+04,1030301,-9.015499378e-07,3.177235808e-04,1.568915610e+00,3.386944676e-09,3.295819573e+01,True,True,False,4.776538796e-06,3.395200357e-06,-2.308119148e-06,6.298422210e-06,-1.695553163e-02,-1.265351693e-02,4.269517995e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
27,1.683168317e-02,-1.287128713e-02,4.336138614e-03,4.071263133e+03,1.583792783e-01,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01,1.696030817e-02,-1.265691213e-02,4.271826114e-03,2.581416838e-04,2.451763022e+03,1.684343221e-01,1.455619609e+04,1030301,-9.015499378e-07,3.177235808e-04,1.568915610e+00,3.386944676e-09,3.295819573e+01,True,True,False,-4.776538796e-06,3.395200357e-06,-2.308119148e-06,6.298422210e-06,1.695553163e-02,-1.265351693e-02,4.269517995e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
28,1.287128713e-02,-1.683168317e-02,4.336138614e-03,4.071263133e+03,1.583792783e-01,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01,1.265691213e-02,-1.696030817e-02,4.271826114e-03,2.581416838e-04,2.451763022e+03,1.684343221e-01,1.455619609e+04,1030301,-9.015499378e-07,3.177235808e-04,1.568915610e+00,3.386944676e-09,3.295819573e+01,True,True,False,-3.395200357e-06,4.776538796e-06,-2.308119148e-06,6.298422210e-06,1.265351693e-02,-1.695553163e-02,4.269517995e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
29,-1.287128713e-02,-1.683168317e-02,4.336138614e-03,4.071263133e+03,1.583792783e-01,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01,-1.265691213e-02,-1.696030817e-02,4.271826114e-03,2.581416838e-04,2.451763022e+03,1.684343221e-01,1.455619609e+04,1030301,-9.015499378e-07,3.177235808e-04,1.568915610e+00,3.386944676e-09,3.295819573e+01,True,True,False,3.395200358e-06,4.776538796e-06,-2.308119148e-06,6.298422210e-06,-1.265351693e-02,-1.695553163e-02,4.269517995e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
30,1.287128713e-02,1.683168317e-02,4.336138614e-03,4.071263133e+03,1.583792783e-01,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01,1.265691213e-02,1.696030817e-02,4.271826114e-03,2.581416838e-04,2.451763022e+03,1.684343221e-01,1.455619609e+04,1030301,-9.015499378e-07,3.177235808e-04,1.568915610e+00,3.386944676e-09,3.295819573e+01,True,True,False,-3.395200357e-06,-4.776538796e-06,-2.308119148e-06,6.298422210e-06,1.265351693e-02,1.695553163e-02,4.269517995e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
31,-1.683168317e-02,1.287128713e-02,4.336138614e-03,4.071263133e+03,1.583792783e-01,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01,-1.696030817e-02,1.265691213e-02,4.271826114e-03,2.581416838e-04,2.451763022e+03,1.684343221e-01,1.455619609e+04,1030301,-9.015499378e-07,3.177235808e-04,1.568915610e+00,3.386944676e-09,3.295819573e+01,True,True,False,4.776538796e-06,-3.395200357e-06,-2.308119148e-06,6.298422210e-06,-1.695553163e-02,1.265351693e-02,4.269517995e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
32,-1.287128713e-02,1.683168317e-02,4.336138614e-03,4.071263133e+03,1.583792783e-01,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01,-1.265691213e-02,1.696030817e-02,4.271826114e-03,2.581416838e-04,2.451763022e+03,1.684343221e-01,1.455619609e+04,1030301,-9.015499378e-07,3.177235808e-04,1.568915610e+00,3.386944676e-09,3.295819573e+01,True,True,False,3.395200358e-06,-4.776538796e-06,-2.308119148e-06,6.298422210e-06,-1.265351693e-02,1.695553163e-02,4.269517995e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
33,1.683168317e-02,1.287128713e-02,4.336138614e-03,4.071263133e+03,1.583792783e-01,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01,1.696030817e-02,1.265691213e-02,4.271826114e-03,2.581416838e-04,2.451763022e+03,1.684343221e-01,1.455619609e+04,1030301,-9.015499378e-07,3.177235808e-04,1.568915610e+00,3.386944676e-09,3.295819573e+01,True,True,False,-4.776538796e-06,-3.395200357e-06,-2.308119148e-06,6.298422210e-06,1.695553163e-02,1.265351693e-02,4.269517995e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
34,-1.138613861e-02,0.000000000e+00,3.215742574e-02,4.235777863e+03,2.371984612e-01,-7.370852263e-07,9.462873849e-05,2.468690690e-08,5.036622747e-02,-1.157907611e-02,1.071875000e-04,3.213598824e-02,2.217512243e-04,3.155037764e+03,2.444391875e-01,1.290725025e+04,1030301,-7.711609946e-07,3.546147866e-04,3.747432252e+00,3.782223266e-09,4.378181539e+01,True,True,False,-1.594064911e-06,5.281629322e-06,4.110457008e-06,6.879862502e-06,-1.158067018e-02,1.124691293e-04,3.214009870e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
35,0.000000000e+00,-1.138613861e-02,3.215742574e-02,4.235777863e+03,2.371984612e-01,-7.370852263e-07,9.462873849e-05,2.468690690e-08,5.036622747e-02,-1.071875000e-04,-1.157907611e-02,3.213598824e-02,2.217512243e-04,3.155037764e+03,2.444391875e-01,1.290725025e+04,1030301,-7.711609946e-07,3.546147866e-04,3.747432252e+00,3.782223266e-09,4.378181539e+01,True,True,False,-5.281629322e-06,-1.594064911e-06,4.110457008e-06,6.879862502e-06,-1.124691293e-04,-1.158067018e-02,3.214009870e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
36,1.138613861e-02,0.000000000e+00,3.215742574e-02,4.235777863e+03,2.371984612e-01,-7.370852263e-07,9.462873849e-05,2.468690690e-08,5.036622747e-02,1.157907611e-02,1.071875000e-04,3.213598824e-02,2.217512243e-04,3.155037764e+03,2.444391875e-01,1.290725025e+04,1030301,-7.711609946e-07,3.546147866e-04,3.747432252e+00,3.782223266e-09,4.378181539e+01,True,True,False,1.594064911e-06,5.281629322e-06,4.110457008e-06,6.879862502e-06,1.158067018e-02,1.124691293e-04,3.214009870e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
