rank,coarse_x,coarse_y,coarse_z,coarse_p_abs,coarse_local_p_ratio,coarse_U,coarse_grad_norm,coarse_well_depth,coarse_lambda_min_conf,refined_x,refined_y,refined_z,refined_distance_from_coarse,refined_p_abs,refined_box_p_ratio,refined_box_p_ref,refined_box_p_sample_count,refined_U,refined_grad_norm,refined_grad_ratio_to_coarse,refined_box_well_depth,refined_lambda_min_conf,refined_local_minimum_26,refined_hessian_positive,refined_minimum_on_edge,newton_dx,newton_dy,newton_dz,newton_offset_norm,newton_x,newton_y,newton_z,newton_in_refine_box,refine_validation_pass,refine_validation_reason,local_refine_radius,local_refine_grid_size,local_refine_dx,local_refine_dy,local_refine_dz
24,-1.237623762e-02,0.000000000e+00,4.235148515e-02,1.110662664e+03,6.626799895e-02,-7.301854112e-07,1.081111700e-04,2.695732648e-08,5.499833749e-02,-1.250486262e-02,0.000000000e+00,4.243723515e-02,1.545880109e-04,4.625231777e+02,4.212590824e-02,1.097954197e+04,1030301,-7.534296290e-07,1.820910808e-04,1.684294793e+00,4.217421836e-09,2.661507315e+01,True,True,False,1.019844747e-06,2.209961262e-18,-5.511609841e-06,5.605169610e-06,-1.250384278e-02,2.209961262e-18,4.243172354e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
25,0.000000000e+00,-1.237623762e-02,4.235148515e-02,1.110662664e+03,6.626799895e-02,-7.301854112e-07,1.081111700e-04,2.695732648e-08,5.499833749e-02,0.000000000e+00,-1.250486262e-02,4.243723515e-02,1.545880109e-04,4.625231777e+02,4.212590824e-02,1.097954197e+04,1030301,-7.534296290e-07,1.820910808e-04,1.684294793e+00,4.217421836e-09,2.661507315e+01,True,True,False,-4.155261773e-18,1.019844747e-06,-5.511609841e-06,5.605169610e-06,-4.155261773e-18,-1.250384278e-02,4.243172354e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
26,1.683168317e-02,1.287128713e-02,4.336138614e-03,4.070094296e+03,1.583372758e-01,-8.368792064e-07,2.024311266e-04,2.575958442e-08,1.985774672e-01,1.696030817e-02,1.265691213e-02,4.271826114e-03,2.581416838e-04,2.451066845e+03,1.684015621e-01,1.455489376e+04,1030301,-9.016716073e-07,3.178325428e-04,1.570077429e+00,3.394624158e-09,3.295321386e+01,True,True,False,-4.782477990e-06,-3.398238686e-06,-2.306099094e-06,6.303825420e-06,1.695552569e-02,1.265351389e-02,4.269520015e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
27,-1.683168317e-02,-1.287128713e-02,4.336138614e-03,4.070094296e+03,1.583372758e-01,-8.368792064e-07,2.024311266e-04,2.575958442e-08,1.985774672e-01,-1.696030817e-02,-1.265691213e-02,4.271826114e-03,2.581416838e-04,2.451066845e+03,1.684015621e-01,1.455489376e+04,1030301,-9.016716073e-07,3.178325428e-04,1.570077429e+00,3.394624158e-09,3.295321386e+01,True,True,False,4.782477990e-06,3.398238686e-06,-2.306099094e-06,6.303825420e-06,-1.695552569e-02,-1.265351389e-02,4.269520015e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
28,-1.683168317e-02,1.287128713e-02,4.336138614e-03,4.070094296e+03,1.583372758e-01,-8.368792064e-07,2.024311266e-04,2.575958442e-08,1.985774672e-01,-1.696030817e-02,1.265691213e-02,4.271826114e-03,2.581416838e-04,2.451066845e+03,1.684015621e-01,1.455489376e+04,1030301,-9.016716073e-07,3.178325428e-04,1.570077429e+00,3.394624158e-09,3.295321386e+01,True,True,False,4.782477990e-06,-3.398238686e-06,-2.306099094e-06,6.303825420e-06,-1.695552569e-02,1.265351389e-02,4.269520015e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
29,1.683168317e-02,-1.287128713e-02,4.336138614e-03,4.070094296e+03,1.583372758e-01,-8.368792064e-07,2.024311266e-04,2.575958442e-08,1.985774672e-01,1.696030817e-02,-1.265691213e-02,4.271826114e-03,2.581416838e-04,2.451066845e+03,1.684015621e-01,1.455489376e+04,1030301,-9.016716073e-07,3.178325428e-04,1.570077429e+00,3.394624158e-09,3.295321386e+01,True,True,False,-4.782477990e-06,3.398238686e-06,-2.306099094e-06,6.303825420e-06,1.695552569e-02,-1.265351389e-02,4.269520015e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
30,1.287128713e-02,-1.683168317e-02,4.336138614e-03,4.070094296e+03,1.583372758e-01,-8.368792064e-07,2.024311266e-04,2.575958442e-08,1.985774672e-01,1.265691213e-02,-1.696030817e-02,4.271826114e-03,2.581416838e-04,2.451066845e+03,1.684015621e-01,1.455489376e+04,1030301,-9.016716073e-07,3.178325428e-04,1.570077429e+00,3.394624158e-09,3.295321386e+01,True,True,False,-3.398238686e-06,4.782477990e-06,-2.306099094e-06,6.303825420e-06,1.265351389e-02,-1.695552569e-02,4.269520015e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
31,1.287128713e-02,1.683168317e-02,4.336138614e-03,4.070094296e+03,1.583372758e-01,-8.368792064e-07,2.024311266e-04,2.575958442e-08,1.985774672e-01,1.265691213e-02,1.696030817e-02,4.271826114e-03,2.581416838e-04,2.451066845e+03,1.684015621e-01,1.455489376e+04,1030301,-9.016716073e-07,3.178325428e-04,1.570077429e+00,3.394624158e-09,3.295321386e+01,True,True,False,-3.398238686e-06,-4.782477990e-06,-2.306099094e-06,6.303825420e-06,1.265351389e-02,1.695552569e-02,4.269520015e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
32,-1.287128713e-02,-1.683168317e-02,4.336138614e-03,4.070094296e+03,1.583372758e-01,-8.368792064e-07,2.024311266e-04,2.575958442e-08,1.985774672e-01,-1.265691213e-02,-1.696030817e-02,4.271826114e-03,2.581416838e-04,2.451066845e+03,1.684015621e-01,1.455489376e+04,1030301,-9.016716073e-07,3.178325428e-04,1.570077429e+00,3.394624158e-09,3.295321386e+01,True,True,False,3.398238686e-06,4.782477990e-06,-2.306099094e-06,6.303825420e-06,-1.265351389e-02,-1.695552569e-02,4.269520015e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
33,-1.287128713e-02,1.683168317e-02,4.336138614e-03,4.070094296e+03,1.583372758e-01,-8.368792064e-07,2.024311266e-04,2.575958442e-08,1.985774672e-01,-1.265691213e-02,1.696030817e-02,4.271826114e-03,2.581416838e-04,2.451066845e+03,1.684015621e-01,1.455489376e+04,1030301,-9.016716073e-07,3.178325428e-04,1.570077429e+00,3.394624158e-09,3.295321386e+01,True,True,False,3.398238686e-06,-4.782477990e-06,-2.306099094e-06,6.303825420e-06,-1.265351389e-02,1.695552569e-02,4.269520015e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
